title,slug,location,resolution_source_url,description
Lowest temperature in Paris on May 5?,lowest-temperature-in-paris-on-may-5-2026,Paris-Le Bourget,https://www.wunderground.com/history/daily/fr/bonneuil-en-france/LFPB,"This market will resolve to the temperature range that contains the lowest temperature recorded at the Paris-Le Bourget Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the lowest temperature recorded for all times on this day by the Forecast for the Paris-Le Bourget Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/fr/bonneuil-en-france/LFPB.

To tog"
Highest temperature in Chengdu on May 5?,highest-temperature-in-chengdu-on-may-5-2026,Chengdu Shuangliu International,https://www.wunderground.com/history/daily/cn/chengdu/ZUUU,"This market will resolve to the temperature range that contains the highest temperature recorded at the Chengdu Shuangliu International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Chengdu Shuangliu International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/"
Highest temperature in Ankara on May 4?,highest-temperature-in-ankara-on-may-4-2026,Esenboğa Intl,https://www.wunderground.com/history/daily/tr/%C3%A7ubuk/LTAC,"This market will resolve to the temperature range that contains the highest temperature recorded at the Esenboğa Intl Airport Station in degrees Celsius on 4 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Esenboğa Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/tr/%C3%A7ubuk/LTAC.

To toggle between "
Highest temperature in Shanghai on May 4?,highest-temperature-in-shanghai-on-may-4-2026,Shanghai Pudong International,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD,"This market will resolve to the temperature range that contains the highest temperature recorded at the Shanghai Pudong International Airport Station in degrees Celsius on 4 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Shanghai Pudong International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/shan"
Lowest temperature in Miami on May 5?,lowest-temperature-in-miami-on-may-5-2026,Miami Intl,https://www.wunderground.com/history/daily/us/fl/miami/KMIA,"This market will resolve to the temperature range that contains the lowest temperature recorded at the Miami Intl Airport Station in degrees Fahrenheit on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the lowest temperature recorded for all times on this day by the Forecast for the Miami Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/fl/miami/KMIA.

To toggle between Fahrenh"
Highest temperature in Kuala Lumpur on May 4?,highest-temperature-in-kuala-lumpur-on-may-4-2026,Kuala Lumpur Intl,https://www.wunderground.com/history/daily/my/sepang-district/WMKK,"This market will resolve to the temperature range that contains the highest temperature recorded at the Kuala Lumpur Intl Airport Station in degrees Celsius on 4 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Kuala Lumpur Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/my/sepang-district/WMKK.

To to"
Highest temperature in London on May 5?,highest-temperature-in-london-on-may-5-2026,London City,https://www.wunderground.com/history/daily/gb/london/EGLC,"This market will resolve to the temperature range that contains the highest temperature recorded at the London City Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the London City Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/gb/london/EGLC.

To toggle between Fahrenhe"
Highest temperature in Paris on May 4?,highest-temperature-in-paris-on-may-4-2026,Paris-Le Bourget,https://www.wunderground.com/history/daily/fr/bonneuil-en-france/LFPB,"This market will resolve to the temperature range that contains the highest temperature recorded at the Paris-Le Bourget Airport Station in degrees Celsius on 4 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Paris-Le Bourget Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/fr/bonneuil-en-france/LFPB.

To t"
Highest temperature in Wellington on May 4?,highest-temperature-in-wellington-on-may-4-2026,Wellington Intl,https://www.wunderground.com/history/daily/nz/wellington/NZWN,"This market will resolve to the temperature range that contains the highest temperature recorded at the Wellington Intl Airport Station in degrees Celsius on 4 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Wellington Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/nz/wellington/NZWN.

To toggle betw"
Highest temperature in Wellington on May 5?,highest-temperature-in-wellington-on-may-5-2026,Wellington Intl,https://www.wunderground.com/history/daily/nz/wellington/NZWN,"This market will resolve to the temperature range that contains the highest temperature recorded at the Wellington Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Wellington Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/nz/wellington/NZWN.

To toggle betw"
Highest temperature in Chicago on May 5?,highest-temperature-in-chicago-on-may-5-2026,Chicago O'Hare Intl,https://www.wunderground.com/history/daily/us/il/chicago/KORD,"This market will resolve to the temperature range that contains the highest temperature recorded at the Chicago O'Hare Intl Airport Station in degrees Fahrenheit on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Chicago O'Hare Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/il/chicago/KORD.

To "
Highest temperature in Seoul on May 5?,highest-temperature-in-seoul-on-may-5-2026,Incheon Intl,https://www.wunderground.com/history/daily/kr/incheon/RKSI,"This market will resolve to the temperature range that contains the highest temperature recorded at the Incheon Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Incheon Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/kr/incheon/RKSI.

To toggle between Fahre"
Highest temperature in Chengdu on May 4?,highest-temperature-in-chengdu-on-may-4-2026,Chengdu Shuangliu International,https://www.wunderground.com/history/daily/cn/chengdu/ZUUU,"This market will resolve to the temperature range that contains the highest temperature recorded at the Chengdu Shuangliu International Airport Station in degrees Celsius on 4 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Chengdu Shuangliu International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/"
Highest temperature in Shanghai on May 5?,highest-temperature-in-shanghai-on-may-5-2026,Shanghai Pudong International,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD,"This market will resolve to the temperature range that contains the highest temperature recorded at the Shanghai Pudong International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Shanghai Pudong International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/shan"
Highest temperature in Shenzhen on May 4?,highest-temperature-in-shenzhen-on-may-4-2026,Shenzhen Bao'an International,https://www.wunderground.com/history/daily/cn/shenzhen/ZGSZ,"This market will resolve to the temperature range that contains the highest temperature recorded at the Shenzhen Bao'an International Airport Station in degrees Celsius on 4 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Shenzhen Bao'an International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/shen"
Lowest temperature in London on May 6?,lowest-temperature-in-london-on-may-6-2026,London City,https://www.wunderground.com/history/daily/gb/london/EGLC,"This market will resolve to the temperature range that contains the lowest temperature recorded at the London City Airport Station in degrees Celsius on 6 May '26.

The resolution source for this market will be information from Wunderground, specifically the lowest temperature recorded for all times on this day by the Forecast for the London City Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/gb/london/EGLC.

To toggle between Fahrenheit"
Highest temperature in Beijing on May 5?,highest-temperature-in-beijing-on-may-5-2026,Beijing Capital International,https://www.wunderground.com/history/daily/cn/beijing/ZBAA,"This market will resolve to the temperature range that contains the highest temperature recorded at the Beijing Capital International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Beijing Capital International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/beij"
Highest temperature in Busan on May 5?,highest-temperature-in-busan-on-may-5-2026,Gimhae Intl,https://www.wunderground.com/history/daily/kr/busan/RKPK,"This market will resolve to the temperature range that contains the highest temperature recorded at the Gimhae Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Gimhae Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/kr/busan/RKPK.

To toggle between Fahrenhei"
Highest temperature in Moscow on May 5?,highest-temperature-in-moscow-on-may-5-2026,Vnukovo International Airport,https://www.weather.gov/wrh/timeseries?site=UUWW,"This market will resolve to the temperature range that contains the highest temperature recorded by NOAA at the Vnukovo International Airport in degrees Celsius on 5 May '26.

The resolution source for this market will be information from NOAA, specifically the highest reading under the ""Temp"" column on the specified date once information is finalized for all hours on that date, available here: https://www.weather.gov/wrh/timeseries?site=UUWW

To toggle between Fahrenheit and Celsius, click the "
Highest temperature in Denver on May 5?,highest-temperature-in-denver-on-may-5-2026,Buckley Space Force Base,https://www.wunderground.com/history/daily/us/co/aurora/KBKF,"This market will resolve to the temperature range that contains the highest temperature recorded at the Buckley Space Force Base Station in degrees Fahrenheit on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Buckley Space Force Base Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/co/aurora/KBKF.

To toggle "
Highest temperature in Istanbul on May 5?,highest-temperature-in-istanbul-on-may-5-2026,Istanbul Airport,https://www.weather.gov/wrh/timeseries?site=LTFM,"This market will resolve to the temperature range that contains the highest temperature recorded by NOAA at the Istanbul Airport in degrees Celsius on 5 May '26.

The resolution source for this market will be information from NOAA, specifically the highest reading under the ""Temp"" column on the specified date once information is finalized for all hours on that date, available here: https://www.weather.gov/wrh/timeseries?site=LTFM

To toggle between Fahrenheit and Celsius, click the ""Switch to Me"
Lowest temperature in Paris on May 6?,lowest-temperature-in-paris-on-may-6-2026,Paris-Le Bourget,https://www.wunderground.com/history/daily/fr/bonneuil-en-france/LFPB,"This market will resolve to the temperature range that contains the lowest temperature recorded at the Paris-Le Bourget Airport Station in degrees Celsius on 6 May '26.

The resolution source for this market will be information from Wunderground, specifically the lowest temperature recorded for all times on this day by the Forecast for the Paris-Le Bourget Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/fr/bonneuil-en-france/LFPB.

To tog"
Highest temperature in San Francisco on May 5?,highest-temperature-in-san-francisco-on-may-5-2026,San Francisco International,https://www.wunderground.com/history/daily/us/ca/san-francisco/KSFO,"This market will resolve to the temperature range that contains the highest temperature recorded at the San Francisco International Airport Station in degrees Fahrenheit on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the San Francisco International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/ca/sa"
Lowest temperature in London on May 5?,lowest-temperature-in-london-on-may-5-2026,London City,https://www.wunderground.com/history/daily/gb/london/EGLC,"This market will resolve to the temperature range that contains the lowest temperature recorded at the London City Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the lowest temperature recorded for all times on this day by the Forecast for the London City Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/gb/london/EGLC.

To toggle between Fahrenheit"
Highest temperature in Warsaw on May 5?,highest-temperature-in-warsaw-on-may-5-2026,Warsaw Chopin,https://www.wunderground.com/history/daily/pl/warsaw/EPWA,"This market will resolve to the temperature range that contains the highest temperature recorded at the Warsaw Chopin Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Warsaw Chopin Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/pl/warsaw/EPWA.

To toggle between Fahr"
Highest temperature in Panama City on May 5?,highest-temperature-in-panama-city-on-may-5-2026,Marcos A. Gelabert Intl,https://www.wunderground.com/history/daily/pa/panama-city/MPMG,"This market will resolve to the temperature range that contains the highest temperature recorded at the Marcos A. Gelabert Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Marcos A. Gelabert Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/pa/panama-city/MPMG"
Highest temperature in Hong Kong on May 4?,highest-temperature-in-hong-kong-on-may-4-2026,Hong Kong on May 4,https://www.weather.gov.hk/en/cis/climat.htm,"This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 4 May '26.

The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm

This market can not resolve to ""Yes"" until data for this da"
Lowest temperature in Tokyo on May 6?,lowest-temperature-in-tokyo-on-may-6-2026,Tokyo Haneda,https://www.wunderground.com/history/daily/jp/tokyo/RJTT,"This market will resolve to the temperature range that contains the lowest temperature recorded at the Tokyo Haneda Airport Station in degrees Celsius on 6 May '26.

The resolution source for this market will be information from Wunderground, specifically the lowest temperature recorded for all times on this day by the Forecast for the Tokyo Haneda Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/jp/tokyo/RJTT.

To toggle between Fahrenhei"
Lowest temperature in Hong Kong on May 5?,lowest-temperature-in-hong-kong-on-may-5-2026,Hong Kong on May 5,https://www.weather.gov.hk/en/cis/climat.htm,"This market will resolve to the temperature range that contains the lowest temperature recorded by the Hong Kong Observatory in degrees Celsius on 5 May '26.

The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Min (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm

This market can not resolve to ""Yes"" until data for this dat"
